country,city,stdState,street,Harley Dealer Id,state,Offerings,Matching result,identifier,website,stdStreet,basicDealerId,phone,name,postal,stdPhone
USA,Long Island City,NY,4211 Northern Blvd,"4211 Northern Blvd
Long Island City, NY, USA 11101-1539
(718) 707-9300 | Website",NY,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
Express Lane™ Service
HD-1™ Fit Shop
H-D JUMPSTART™
H-D Authorized Service
H.O.G.® Chapter
Test Ride
",Address Match : 001j000000rTIXWAA4,1455,http://www.nycharleydavidson.com/,4211 northern boulevard,750,(718) 707-9300,Harley-Davidson of New York City,11101-1539,7187079300
USA,Kailua Kona,HI,75-5633 Palani Rd,"75-5633 Palani Rd
Kailua Kona, HI, USA 96740-1632
(808) 217-8560",HI,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Authorized Service
H.O.G.® Chapter
H-D® Authorized Rentals
Test Ride
",Address Match : 001j000000snwbPAAQ,2697,null,755633 palani road,433,(808) 217-8560,Big Island Harley-Davidson,96740-1632,8082178560
USA,Jacksonville,NC,2394 Wilmington Hwy,"2394 Wilmington Hwy
Jacksonville, NC, USA 28540-3152
(910) 346-9997 | Website",NC,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
Express Lane™ Service
HD-1™ Fit Shop
H-D JUMPSTART™
H-D Authorized Service
H.O.G.® Chapter
Test Ride
",Address Match : 001j000000VuEAEAA3,2000,http://www.newriverhd.com/,2394 wilmington highway,705,(910) 346-9997,New River Harley-Davidson,28540-3152,9103469997
USA,Athens,GA,4225 Atlanta Hwy,"4225 Atlanta Hwy
Athens, GA, USA 30606-0862
(706) 548-3300 | Website",GA,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
H-D Authorized Service
H.O.G.® Chapter
Test Ride
",Address Match : 001j000000VuEJBAA3,755,http://www.cycleworldathens.com/,4225 atlanta highway,417,(706) 548-3300,Harley-Davidson of Athens,30606-0862,7065483300
USA,Cleveland,OH,4985 W 150th St,"4985 W 150th St
Cleveland, OH, USA 44135-3303
(216) 252-3111 | Website",OH,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
Express Lane™ Service
HD-1™ Fit Shop
H-D JUMPSTART™
H-D Authorized Service
H.O.G.® Chapter
H-D® Authorized Rentals
Test Ride
",Address Match : 001j000000VuEvhAAF,3509,http://www.rocknrollcityharley.com/,4985 west 150th street,802,(216) 252-3111,Rock-n-Roll City Harley-Davidson,44135-3303,2162523111
USA,Cement City,MI,18655 US 12,"18655 US 12
Cement City, MI, USA 49233-9515
517-547-3333 | Website",MI,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
H-D Authorized Service
H.O.G.® Chapter
H-DTM Riding Academy
H-D® Authorized Rentals
Test Ride
",Address Match : 001j000000VuFAsAAN,2194,http://www.cementcityharley.com/,18655 us 12,631,517-547-3333,Town & Country Sports Center Harley-Davidson,49233-9515,5175473333
USA,Junction City,KS,1021 Goldenbelt Blvd,"1021 Goldenbelt Blvd
Junction City, KS, USA 66441-3938
785-238-3411 | Website",KS,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
HD-1™ Fit Shop
H-D Authorized Service
H.O.G.® Chapter
Test Ride
",Address Match : 001j000000VuFtHAAV,1508,http://www.citycyclesalesinc.com/,1021 goldenbelt boulevard,543,785-238-3411,City Cycle Sales Harley-Davidson,66441-3938,7852383411
USA,Greeley,CO,3010 W 29th St,"3010 W 29th St
Greeley, CO, USA 80631-8526
(970) 351-8150 | Website",CO,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
Express Lane™ Service
HD-1™ Fit Shop
H-D JUMPSTART™
H-D Authorized Service
H.O.G.® Chapter
H-DTM Riding Academy
Test Ride
",Address Match : 001j000000VuGVRAA3,1462,http://www.greeleyhd.com/,3010 west 29th street,301,(970) 351-8150,Greeley Harley-Davidson,80631-8526,9703518150
USA,Cheyenne,WY,3320 E Lincolnway,"3320 E Lincolnway
Cheyenne, WY, USA 82001-6126
(307) 638-8307",WY,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Authorized Service
H.O.G.® Chapter
Test Ride
",Address Match : 001j000000VuGWkAAN,3165,null,3320 east lincolnway,952,(307) 638-8307,High Country Harley-Davidson of Cheyenne,82001-6126,3076388307
USA,Jacksonville,FL,8909 Baymeadows Rd,"8909 Baymeadows Rd
Jacksonville, FL, USA 32256-7507
(904) 493-1931 | Website",FL,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
Express Lane™ Service
HD-1™ Fit Shop
H-D JUMPSTART™
H-D Authorized Service
H.O.G.® Chapter
H-DTM Riding Academy
H-D® Authorized Rentals
Test Ride
",Address Match : 001j000000w18xVAAQ,681,http://www.adamecharley.com/,8909 baymeadows road,400,(904) 493-1931,Adamec Harley-Davidson of Jacksonville,32256-7507,9044931931
USA,Orange Park,FL,1520 Wells Rd,"1520 Wells Rd
Orange Park, FL, USA 32073-6730
904-215-1931 | Website",FL,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
Express Lane™ Service
HD-1™ Fit Shop
H-D Authorized Service
H.O.G.® Chapter
H-DTM Riding Academy
Test Ride
",Address Match : 001j000000w190PAAQ,679,http://www.adamecharley.com/,1520 wells road,399,904-215-1931,Adamec Harley-Davidson of Orange Park,32073-6730,9042151931
USA,Jacksonville,FL,10399 Atlantic Blvd,"10399 Atlantic Blvd
Jacksonville, FL, USA 32225-6604
(904) 641-3735 | Website",FL,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
Express Lane™ Service
HD-1™ Fit Shop
H-D Authorized Service
Test Ride
",Address Match : 001j000000w192uAAA,2117,http://www.adamecharley.com/,10399 atlantic boulevard,401,(904) 641-3735,Adamec Harley-Davidson Shop at Regency,32225-6604,9046413735
USA,Fresno,CA,4345 W Shaw Ave,"4345 W Shaw Ave
Fresno, CA, USA 93722-6205
559-275-8586 | Website",CA,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
HD-1™ Fit Shop
H-D JUMPSTART™
H-D Authorized Service
H.O.G.® Chapter
Test Ride
",Address Match : 001j000000w3UlUAAU,228,http://www.hdfresno.com/,4345 west shaw avenue,227,559-275-8586,Harley-Davidson of Fresno,93722-6205,5592758586
USA,Glenview,IL,2929 Patriot Blvd,"2929 Patriot Blvd
Glenview, IL, USA 60026-8047
(847) 418-2929 | Website",IL,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
Express Lane™ Service
H-D JUMPSTART™
H-D Authorized Service
H.O.G.® Chapter
H-DTM Riding Academy
H-D® Authorized Rentals
Test Ride
",Address Match : 001j000000WtZ5ZAAV,3520,http://www.chicagoharley.com/,2929 patriot boulevard,503,(847) 418-2929,Chicago Harley-Davidson,60026-8047,8474182929
USA,Sellersville,PA,3255 State Rd,"3255 State Rd
Sellersville, PA, USA 18960-1655
(215) 257-6112 | Website",PA,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Authorized Service
H.O.G.® Chapter
Test Ride
",Address Match : 001j000000yA3sEAAS,3639,http://www.hannumshd.com/,3255 state road,359,(215) 257-6112,Hannum's Harley-Davidson of Sellersville,18960-1655,2152576112
USA,Louisville,KY,1700 Arthur St,"1700 Arthur St
Louisville, KY, USA 40208-2778
(502) 634-1340 | Website",KY,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
HD-1™ Fit Shop
H-D Authorized Service
H.O.G.® Chapter
Test Ride
",Address Match : 001j000000Zi4nTAAR,2032,http://www.harleydavidsonlouisville.com/,1700 arthur street,539,(502) 634-1340,Harley-Davidson Louisville,40208-2778,5026341340
USA,Chadds Ford,PA,1241 Baltimore Pike,"1241 Baltimore Pike
Chadds Ford, PA, USA 19317-7304
(610) 558-3331 | Website",PA,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
H-D Authorized Service
Test Ride
",Address Match : 001j000000zmm6EAAQ,8249,http://www.hannumshd.com/,1241 baltimore pike,341,(610) 558-3331,Hannum's Harley-Davidson Chadds Ford,19317-7304,6105583331
USA,Rahway,NJ,12 W Milton Ave,"12 W Milton Ave
Rahway, NJ, USA 07065-3201
(732) 381-2400 | Website",NJ,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
Express Lane™ Service
H-D Authorized Service
Test Ride
",Address Match : 001j000000zmm6iAAA,3909,http://www.hannumshd.com/,12 west milton avenue,745,(732) 381-2400,Hannum's Harley-Davidson of Rahway,07065-3201,7323812400
USA,Media,PA,1011 W Baltimore Pike,"1011 W Baltimore Pike
Media, PA, USA 19063-5101
(610) 566-5562 | Website",PA,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
H-D JUMPSTART™
H-D Authorized Service
H.O.G.® Chapter
Test Ride
",Address Match : 001j000000zmm7qAAA,4415,http://www.hannumshdchaddsford.com/,1011 west baltimore pike,345,(610) 566-5562,Hannum's Harley-Davidson,19063-5101,6105665562
