foreignType,country,city,stdPostal,stdState,stdName,foreignIdentifierString,outdated,street,custom3,custom4,custom1,state,custom2,custom5,custom6,identifier,website,stdStreet,stdCity,basicDealerId,phone,stdCountry,name,postal,projectIdentifier,stdPhone
null,USA,Mantua,44255,OH,null,null,false,11771 State Rte 44,null,I11,"11771 State Rte 44
Mantua, OH, USA 44255-9646
330-274-3141 | Website",OH,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
HD-1™ Fit Shop
H-D Authorized Service
H.O.G.® Chapter
Test Ride
",F20,Not in salesforce,3807,http://www.carltonsharley.com/,11771 state route 44,null,809,330-274-3141,United States,"Carlton Harley-Davidson, Inc.",44255-9646,Harley,3302743141
null,USA,Fairfield,45014,OH,null,null,false,5960 Dixie Hwy,null,I11,"5960 Dixie Hwy
Fairfield, OH, USA 45014-4294
(513) 874-4343 | Website",OH,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Authorized Service
H.O.G.® Chapter
Test Ride
",F20,Not in salesforce,3805,http://www.queencityharley.com/,5960 dixie highway,null,810,(513) 874-4343,United States,Queen City Harley-Davidson,45014-4294,Harley,5138744343
null,USA,Wintersville,43953,OH,null,null,false,284 Canton Rd,null,I11,"284 Canton Rd
Wintersville, OH, USA 43953-3903
740-266-6188 | Website",OH,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
H-D Authorized Service
H.O.G.® Chapter
Test Ride
",F20,Not in salesforce,3881,http://www.neidengards.com/,284 canton road,null,811,740-266-6188,United States,Neidengard's Harley-Davidson,43953-3903,Harley,7402666188
null,USA,Cincinnati,45229,OH,null,null,false,1799 Tennessee Ave,null,I11,"1799 Tennessee Ave
Cincinnati, OH, USA 45229-1201
(513) 641-1188 | Website",OH,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
Express Lane™ Service
H-D JUMPSTART™
H-D Authorized Service
H.O.G.® Chapter
Test Ride
",F20,Not in salesforce,1872,http://www.harley-davidsonofcincinnati.com/,1799 tennessee avenue,null,812,(513) 641-1188,United States,Harley-Davidson of Cincinnati,45229-1201,Harley,5136411188
null,USA,Mentor,44060,OH,null,null,false,8567 Tyler Blvd,null,I11,"8567 Tyler Blvd
Mentor, OH, USA 44060-4231
440-974-6900 | Website",OH,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
HD-1™ Fit Shop
H-D JUMPSTART™
H-D Authorized Service
H.O.G.® Chapter
H-DTM Riding Academy
H-D® Authorized Rentals
Test Ride
",F20,Not in salesforce,3818,http://www.westernreservehd.com/,8567 tyler boulevard,null,813,440-974-6900,United States,"Western Reserve H-D Motorcycles, Inc.",44060-4231,Harley,4409746900
null,USA,Wheeling,26003,WV,null,null,false,1034 E Bethlehem Blvd,null,I17,"1034 E Bethlehem Blvd
Wheeling, WV, USA 26003-4961
(304) 243-9300 | Website",WV,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
Express Lane™ Service
H-D JUMPSTART™
H-D Authorized Service
H.O.G.® Chapter
Test Ride
",F12,Not in salesforce,1069,http://www.valleyharley.com/,1034 east bethlehem boulevard,null,814,(304) 243-9300,United States,Valley Harley-Davidson,26003-4961,Harley,3042439300
null,USA,Youngstown,44515,OH,null,null,false,5700 Interstate Blvd,null,I11,"5700 Interstate Blvd
Youngstown, OH, USA 44515-1170
(330) 505-2000 | Website",OH,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
HD-1™ Fit Shop
H-D Authorized Service
H.O.G.® Chapter
H-DTM Riding Academy
Test Ride
",F20,Not in salesforce,3935,http://www.hdbiketown.com/,5700 interstate boulevard,null,815,(330) 505-2000,United States,Harley-Davidson Biketown,44515-1170,Harley,3305052000
null,USA,Cortland,44410,OH,null,null,false,2102 Elm Rd NE,null,I11,"2102 Elm Rd NE
Cortland, OH, USA 44410-9336
330-395-4700 | Website",OH,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
Express Lane™ Service
HD-1™ Fit Shop
H-D Authorized Service
H.O.G.® Chapter
Test Ride
",F20,Not in salesforce,3906,http://www.warrenharleydavidson.com/,2102 elm road ne,null,816,330-395-4700,United States,"Warren Harley-Davidson Sales, Inc.",44410-9336,Harley,3303954700
null,USA,Moore,73160,OK,null,null,false,500 SW 11th St,null,I09,"500 SW 11th St
Moore, OK, USA 73160-2545
(405) 793-8877",OK,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
Express Lane™ Service
H-D Authorized Service
Test Ride
",F08,Not in salesforce,4036,null,500 sw 11th street,null,817,(405) 793-8877,United States,Fort Thunder Harley-Davidson,73160-2545,Harley,4057938877
null,USA,Oklahoma City,73127,OK,null,null,false,6904 W Reno Ave,null,I09,"6904 W Reno Ave
Oklahoma City, OK, USA 73127-6536
(405) 631-8680 | Website",OK,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
Express Lane™ Service
HD-1™ Fit Shop
H-D JUMPSTART™
H-D Authorized Service
H.O.G.® Chapter
Test Ride
",F08,Address Match : 001j000000Q6lP1AAJ,4029,http://www.harleydavidsonworld.com/,6904 west reno avenue,null,818,(405) 631-8680,United States,Harley-Davidson World,73127-6536,Harley,4056318680
null,USA,Edmond,73013,OK,null,null,false,3433 S Broadway,null,I09,"3433 S Broadway
Edmond, OK, USA 73013-4104
405-478-4024",OK,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
H-D Authorized Service
Test Ride
",F08,Not in salesforce,8181,null,3433 south broadway,null,819,405-478-4024,United States,Iron Nation Harley-Davidson,73013-4104,Harley,4054784024
null,USA,Stillwater,74074,OK,null,null,false,3512 S Boomer Rd,null,I09,"3512 S Boomer Rd
Stillwater, OK, USA 74074-7523
405-377-0045 | Website",OK,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
H-D Authorized Service
H.O.G.® Chapter
",F08,Not in salesforce,4055,http://www.formanharley-davidson.com/,3512 south boomer road,null,820,405-377-0045,United States,Forman Harley-Davidson,74074-7523,Harley,4053770045
null,USA,Lawton,73501,OK,null,null,false,301 SE Interstate Dr,null,I09,"301 SE Interstate Dr
Lawton, OK, USA 73501-3048
(580) 353-5088 | Website",OK,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
Express Lane™ Service
H-D Authorized Service
H.O.G.® Chapter
Test Ride
",F08,Not in salesforce,3335,http://www.windriverhd.com/,301 se interstate dr,null,821,(580) 353-5088,United States,Wind River Harley-Davidson,73501-3048,Harley,5803535088
null,USA,Sherman,75090,TX,null,null,false,4000 N US Highway 75,null,I07,"4000 N US Highway 75
Sherman, TX, USA 75090-0529
(903) 892-2530 | Website",TX,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
Express Lane™ Service
HD-1™ Fit Shop
H-D JUMPSTART™
H-D Authorized Service
H.O.G.® Chapter
Test Ride
",F08,Not in salesforce,1871,http://www.texomahd.com/,4000 north us 75,null,822,(903) 892-2530,United States,Adam Smith's Texoma Harley-Davidson,75090-0529,Harley,9038922530
null,USA,Tulsa,74105,OK,null,null,false,4848 S Peoria Ave,null,I09,"4848 S Peoria Ave
Tulsa, OK, USA 74105-4531
(918) 608-1968 | Website",OK,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
Express Lane™ Service
HD-1™ Fit Shop
H-D JUMPSTART™
H-D Authorized Service
H.O.G.® Chapter
H-DTM Riding Academy
Test Ride
",F08,Not in salesforce,4064,http://www.tulsaharley.com/,4848 south peoria avenue,null,823,(918) 608-1968,United States,Myers-Duren H-D,74105-4531,Harley,9186081968
null,USA,Tulsa,74145,OK,null,null,false,3637 S Memorial Dr,null,I09,"3637 S Memorial Dr
Tulsa, OK, USA 74145-1326
(918) 622-1340 | Website",OK,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Authorized Service
H.O.G.® Chapter
Test Ride
",F08,Not in salesforce,2842,http://www.route66h-d.com/,3637 south memorial dr,null,824,(918) 622-1340,United States,Route 66 Harley-Davidson,74145-1326,Harley,9186221340
null,USA,Wichita Falls,76306,TX,null,null,false,4514 Northwest Fwy,null,I06,"4514 Northwest Fwy
Wichita Falls, TX, USA 76306-4529
(940) 264-7743 | Website",TX,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
Express Lane™ Service
HD-1™ Fit Shop
H-D JUMPSTART™
H-D Authorized Service
H.O.G.® Chapter
H-DTM Riding Academy
Test Ride
",F08,Not in salesforce,1757,http://www.rrhd.com/,4514 northwest fwy,null,825,(940) 264-7743,United States,Red River Harley-Davidson,76306-4529,Harley,9402647743
null,USA,Paris,75460,TX,null,null,false,2875 NE Loop 286,null,I07,"2875 NE Loop 286
Paris, TX, USA 75460-3429
903-784-6392 | Website",TX,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
Express Lane™ Service
HD-1™ Fit Shop
H-D JUMPSTART™
H-D Authorized Service
H.O.G.® Chapter
H-DTM Riding Academy
Test Ride
",F08,Not in salesforce,5129,http://parisharley.com/,2875 ne loop 286,null,826,903-784-6392,United States,Paris Harley-Davidson,75460-3429,Harley,9037846392
null,USA,Bartlesville,74006,OK,null,null,false,231 NE Washington Blvd,null,I09,"231 NE Washington Blvd
Bartlesville, OK, USA 74006-1637
918-336-3800 | Website",OK,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
H-D Authorized Service
",F08,Not in salesforce,3955,http://www.bartlesvillecyclesports.com/,231 ne washington boulevard,null,827,918-336-3800,United States,"Bartlesville Cycle Sports, L.L.C.",74006-1637,Harley,9183363800
null,USA,Amarillo,79106,TX,null,null,false,6040 W Interstate 40,null,I06,"6040 W Interstate 40
Amarillo, TX, USA 79106-2501
806-352-2021 | Website",TX,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
HD-1™ Fit Shop
H-D Authorized Service
H.O.G.® Chapter
Test Ride
",F08,Not in salesforce,4962,http://www.trippshd.com/,6040 west interstate 40,null,828,806-352-2021,United States,"Tripp's Harley-Davidson, Ltd.",79106-2501,Harley,8063522021
null,USA,Bend,97703,OR,null,null,false,63028 Sherman Rd,null,No pod mapping,"63028 Sherman Rd
Bend, OR, USA 97703-5750
(541) 330-6228 | Website",OR,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
Express Lane™ Service
H-D JUMPSTART™
H-D Authorized Service
H.O.G.® Chapter
H-D® Authorized Rentals
Test Ride
",No pod mapping,Address Match : 001j0000016zs1oAAA,2980,http://www.wildhorsehd.com/,63028 sherman road,null,829,(541) 330-6228,United States,Wildhorse Harley-Davidson,97703-5750,Harley,5413306228
null,USA,Eugene,97405,OR,null,null,false,86441 College View Rd,null,I03,"86441 College View Rd
Eugene, OR, USA 97405-9631
(541) 747-1033 | Website",OR,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Authorized Service
H.O.G.® Chapter
Test Ride
",F01,Not in salesforce,3270,http://eugene.latus-hd.com/,86441 college view road,null,830,(541) 747-1033,United States,Latus Motors Harley-Davidson of Eugene,97405-9631,Harley,5417471033
null,USA,Salem,97305,OR,null,null,false,3601 Silverton Rd NE,null,I03,"3601 Silverton Rd NE
Salem, OR, USA 97305-1471
(503) 363-0634 | Website",OR,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
HD-1™ Fit Shop
H-D Authorized Service
H.O.G.® Chapter
Test Ride
",F01,Phone Match : 001j0000016zrdrAAA,1997,http://www.salemharley.com/,3601 silverton road ne,null,831,(503) 363-0634,United States,Salem Harley-Davidson,97305-1471,Harley,5033630634
null,USA,Gladstone,97027,OR,null,null,false,870 E Berkeley St,null,I03,"870 E Berkeley St
Gladstone, OR, USA 97027-2551
503-249-8653 | Website",OR,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
H-D JUMPSTART™
H-D Authorized Service
H.O.G.® Chapter
Test Ride
",F01,Address Match : 001j000000gTMZGAA4,4105,http://www.latus-hd.com/,870 east berkeley street,null,832,503-249-8653,United States,Latus Motors Harley-Davidson,97027-2551,Harley,5032498653
null,USA,Medford,97501,OR,null,null,false,3846 S Pacific Hwy,null,I03,"3846 S Pacific Hwy
Medford, OR, USA 97501-8916
541-535-5515 | Website",OR,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
Express Lane™ Service
H-D JUMPSTART™
H-D Authorized Service
H.O.G.® Chapter
Test Ride
",F01,Address Match : 001j0000016zs5CAAQ,4099,http://www.dsharley.com/,3846 south pacific highway,null,833,541-535-5515,United States,"D & S Harley-Davidson, Inc.",97501-8916,Harley,5415355515
null,USA,Tigard,97223,OR,null,null,false,10770 SW Cascade Ave,null,I03,"10770 SW Cascade Ave
Tigard, OR, USA 97223-4250
(503) 924-3700 | Website",OR,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
Express Lane™ Service
H-D Authorized Service
H.O.G.® Chapter
Test Ride
",F01,Phone Match : 001j0000016zrYhAAI,1814,http://www.paradiseh-d.com/,10770 sw cascade avenue,null,834,(503) 924-3700,United States,Paradise Harley-Davidson,97223-4250,Harley,5039243700
null,USA,Portland,97209,OR,null,null,false,1313 NW Kearney St,null,I03,"1313 NW Kearney St
Portland, OR, USA 97209-2712
(971) 808-5153 | Website",OR,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Authorized Service
",F01,Phone Match : 001j0000016zsDBAAY,3864,http://www.pdxspeedshophd.com/,1313 nw kearney street,null,835,(971) 808-5153,United States,PDX Speed Shop Harley-Davidson,97209-2712,Harley,9718085153
null,USA,Vancouver,98686,WA,null,null,false,1314 NE 102nd St,null,I03,"1314 NE 102nd St
Vancouver, WA, USA 98686-4704
360-695-8831 | Website",WA,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
HD-1™ Fit Shop
H-D Authorized Service
H.O.G.® Chapter
Test Ride
",F01,Phone Match : 001j0000016zrEIAAY,5409,http://www.columbiahd.com/,1314 ne 102nd street,null,836,360-695-8831,United States,Columbia Motorcycle Harley-Davidson,98686-4704,Harley,3606958831
null,USA,Kennewick,99338,WA,null,null,false,3305 W 19th Ave,null,I03,"3305 W 19th Ave
Kennewick, WA, USA 99338-2226
(509) 735-1117 | Website",WA,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D JUMPSTART™
H-D Authorized Service
H.O.G.® Chapter
Test Ride
",F01,Address Match : 001j000000zmXjJAAU,2865,http://www.rattlesnakemountainhd.com/,3305 west 19th avenue,null,837,(509) 735-1117,United States,Rattlesnake Mountain Harley-Davidson,99338-2226,Harley,5097351117
null,USA,Coos Bay,97420,OR,null,null,false,536 S 2nd St,null,I03,"536 S 2nd St
Coos Bay, OR, USA 97420-1501
(541) 266-7051 | Website",OR,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
H-D Authorized Service
H.O.G.® Chapter
Test Ride
",F01,Address Match : 001j0000016zruEAAQ,2137,http://www.highway101hd.com/,536 south 2nd street,null,838,(541) 266-7051,United States,Highway 101 Harley-Davidson,97420-1501,Harley,5412667051
null,USA,Williamsport,17701,PA,null,null,false,1910 E 3rd St,null,I12,"1910 E 3rd St
Williamsport, PA, USA 17701-3902
(570) 320-0630 | Website",PA,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
H-D Authorized Service
H.O.G.® Chapter
Test Ride
",F21,Not in salesforce,1423,http://www.horsepowerhd.com/,1910 east 3rd street,null,839,(570) 320-0630,United States,Horsepower Harley-Davidson,17701-3902,Harley,5703200630
null,USA,Mansfield,16933,PA,null,null,false,2911 S Main St,null,I12,"2911 S Main St
Mansfield, PA, USA 16933-9393
(570) 659-5000 | Website",PA,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
Express Lane™ Service
H-D Authorized Service
H.O.G.® Chapter
Test Ride
",F21,Not in salesforce,3781,http://www.tiogacountyhd.com/,2911 south main street,null,840,(570) 659-5000,United States,Eisenhauer's Tioga County Harley-Davidson,16933-9393,Harley,5706595000
null,USA,Galeton,16922,PA,null,null,false,1913 US 6,null,I12,"1913 US 6
Galeton, PA, USA 16922-0236
814-435-6548 | Website",PA,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
H-D Authorized Service
Test Ride
",F22,Not in salesforce,4322,http://www.larryssportcenter.com/,1913 us 6,null,841,814-435-6548,United States,Larry's Harley-Davidson,16922-0236,Harley,8144356548
null,USA,Cayuta,14824,NY,null,null,false,6033 Rte 13,null,I13,"6033 Rte 13
Cayuta, NY, USA 14824-9728
(607) 594-3536 | Website",NY,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Authorized Service
H.O.G.® Chapter
Test Ride
",F22,Not in salesforce,3614,http://www.fingerlakeshd.com/,6033 route 13,null,842,(607) 594-3536,United States,Finger Lakes Harley-Davidson,14824-9728,Harley,6075943536
null,USA,Mt. Pleasant,48858,MI,null,null,false,4741 E Pickard St,null,I11,"4741 E Pickard St
Mt. Pleasant, MI, USA 48858-2033
(989) 772-5513 | Website",MI,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Authorized Service
H.O.G.® Chapter
Test Ride
",F19,Not in salesforce,3894,http://www.holeshothd.com/,4741 east pickard street,null,600,(989) 772-5513,United States,Holeshot Harley-Davidson,48858-2033,Harley,9897725513
null,USA,Du Bois,15801,PA,null,null,false,101 W DuBois Ave,null,I12,"101 W DuBois Ave
Du Bois, PA, USA 15801-3005
814-371-5750 | Website",PA,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
HD-1™ Fit Shop
H-D Authorized Service
H.O.G.® Chapter
Test Ride
",F22,Not in salesforce,4279,http://www.duboisharleydavidson.com/,101 west dubois avenue,null,843,814-371-5750,United States,Du Bois Harley-Davidson,15801-3005,Harley,8143715750
null,USA,Gaylord,49735,MI,null,null,false,980 S Wisconsin Ave,null,I11,"980 S Wisconsin Ave
Gaylord, MI, USA 49735-1781
(989) 732-8000 | Website",MI,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
HD-1™ Fit Shop
H-D Authorized Service
H.O.G.® Chapter
H-DTM Riding Academy
H-D® Authorized Rentals
Test Ride
",F19,Not in salesforce,1161,http://www.zips45thhd.com/,980 south wisconsin avenue,null,601,(989) 732-8000,United States,Zips 45th Parallel Harley-Davidson,49735-1781,Harley,9897328000
null,USA,Hornell,14843,NY,null,null,false,7611 Industrial Park Rd,null,I13,"7611 Industrial Park Rd
Hornell, NY, USA 14843-9673
607-295-7426 | Website",NY,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
Express Lane™ Service
HD-1™ Fit Shop
H-D Authorized Service
H.O.G.® Chapter
Test Ride
",F22,Not in salesforce,3137,http://www.arkportharley.com/,7611 industrial park road,null,844,607-295-7426,United States,Arkport H-D,14843-9673,Harley,6072957426
null,USA,West Branch,48661,MI,null,null,false,2723 S M 76,null,I11,"2723 S M 76
West Branch, MI, USA 48661-8719
(989) 345-1330 | Website",MI,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
H-D Authorized Service
H.O.G.® Chapter
Test Ride
",F19,Not in salesforce,2369,http://www.gildnershd.com/,2723 south m 76,null,602,(989) 345-1330,United States,Gildner's Harley-Davidson,48661-8719,Harley,9893451330
null,USA,Binghamton,13905,NY,null,null,false,1152 Front St,null,I13,"1152 Front St
Binghamton, NY, USA 13905-1119
607-773-0264 | Website",NY,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
Express Lane™ Service
H-D Authorized Service
H.O.G.® Chapter
H-D® Authorized Rentals
Test Ride
",F22,Not in salesforce,3152,http://www.sthd.com/,1152 front street,null,845,607-773-0264,United States,Southern Tier Harley-Davidson,13905-1119,Harley,6077730264
null,USA,Muskegon,49440,MI,null,null,false,149 Shoreline Dr,null,I11,"149 Shoreline Dr
Muskegon, MI, USA 49440-1164
(231) 722-0000 | Website",MI,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
H-D Authorized Service
H.O.G.® Chapter
H-DTM Riding Academy
Test Ride
",F19,Not in salesforce,1962,http://www.hotrodhd.com/,149 shoreline dr,null,603,(231) 722-0000,United States,Hot Rod Harley-Davidson,49440-1164,Harley,2317220000
null,USA,Falconer,14733,NY,null,null,false,1951 E Main St,null,I13,"1951 E Main St
Falconer, NY, USA 14733-9782
716-484-0113 | Website",NY,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
Express Lane™ Service
HD-1™ Fit Shop
H-D Authorized Service
H.O.G.® Chapter
Test Ride
",F22,Not in salesforce,3261,http://www.jamestownharley.com/,1951 east main street,null,846,716-484-0113,United States,Harley-Davidson of Jamestown,14733-9782,Harley,7164840113
