foreignType,country,city,stdPostal,stdState,stdName,salesforceMatchString,foreignIdentifierString,outdated,street,custom3,custom4,custom1,state,custom2,custom5,custom6,identifier,website,stdStreet,stdCity,basicDealerId,phone,stdCountry,name,postal,projectIdentifier,stdPhone
null,United States,Indianola,50125,IA,null,"Address Match : 001j000000VuFE6AAN
Phone Match : 001j000000VuFE6AAN",null,false,301 S Jefferson Way,null,null,"301 S Jefferson Way
Indianola, IA 50125",IA,null,null,null,null,http://www.vanwallbmw.com/,301 south jefferson way,null,1293,+1 (515) 961-6288,United States,Van-Wall Powersports,50125,finished,5159616288
null,United States,Honolulu,96819,HI,null,"Address Match : 001j000000VuGw0AAF
Phone Match : 001j000000VuGw0AAF
Website Match : 001j000000VuGw0AAF",null,false,3149 N Nimitz Hwy,null,null,"3149 N Nimitz Hwy
Honolulu, HI 96819",HI,null,null,null,null,http://www.southseascycles.com/,3149 north nimitz highway,null,1292,+1 (808) 836-1144,United States,BMW Motorcycles of Nimitz,96819,finished,8088361144
null,United States,Honolulu,96813,HI,null,"Address Match : 001j000000NmZF6AAN
Phone Match : 001j000000VuGw0AAF
Website Match : 001j000000VuGw0AAF",null,false,888 Kapiolani Boulevard,null,null,"888 Kapiolani Boulevard
Honolulu, HI 96813",HI,null,null,null,null,http://www.southseascycles.com/,888 kapiolani boulevard,null,1291,+1 (808) 836-1144,United States,BMW Motorcycles of Honolulu,96813,finished,8088361144
null,Canada,Sherbrooke,J1R0P4,QC,null,"Address Match : 001j0000016zqxCAAQ
Phone Match : 001j0000016zqxCAAQ
Website Match : 001j000000QqPU1AAN",null,null,5020 boul. Industriel,null,null,"5020 boul. Industriel, Sherbrooke, QC J1R 0P4",QC,null,null,null,null,http://www.performancenc.ca,5020 boul industriel,null,2636,819-821-3595,Canada,Evasion BMW,J1R 0P4,finished,8198213595
null,United States,Monticello,55362,MN,null,"Phone Match : 001j000000VuFR6AAN
Website Match : 001j000000VuFR6AAN",null,false,3613 Chelsea Rd West,null,null,"3613 Chelsea Rd West
Monticello, MN 55362",MN,null,null,null,null,http://www.moonmotorsports.com/,3613 chelsea road west,null,1448,+1 (763) 295-2920,United States,"Moon Motor Sales, Inc.",55362,finished,7632952920
null,United States,Louisville,40208,KY,null,"Address Match : 001j000000Zi4nTAAR
Phone Match : 001j000000Zi4nTAAR
Website Match : 001j000000Zi4nTAAR",null,false,1700 Arthur St,null,null,"1700 Arthur St
Louisville, KY 40208",KY,null,null,null,null,http://www.bmwlouisville.com/,1700 arthur street,null,1327,+1 (502) 634-1340,United States,BMW Motorcycles of Louisville,40208,finished,5026341340
null,United States,Spokane,99224,WA,null,"Address Match : 001j000000VuH13AAF
Phone Match : 001j000000VuH13AAF
Website Match : 001j000000VuH13AAF",null,false,4201 S Grove Rd,null,null,"4201 S Grove Rd
Spokane, WA 99224",WA,null,null,null,null,http://www.westsideracing.com/,4201 south grove road,null,1305,+1 (509) 747-1862,United States,BMW Motorcycles of Spokane,99224,finished,5097471862
null,United States,Lakewood,80214,CO,null,Address Match : 001j000000Q6ksoAAB,null,false,1435 Wadsworth Blvd,null,null,"1435 Wadsworth Blvd
Lakewood, CO 80214",CO,null,null,null,null,http://www.foothillsbmw.com/,1435 wadsworth boulevard,null,1228,+1 (303) 202-1400,United States,Foothills BMW Motorcycles of Lakewo,80214,finished,3032021400
null,Canada,St-Germain de Grantham (Drummondville),J0C1K0,QC,null,"Address Match : 001j000000QqPhMAAV
Phone Match : 001j000000QqPhMAAV
Website Match : 001j000000QqPU1AAN",null,null,176 Boul. Industriel,null,null,"176 Boul. Industriel, St-Germain de Grantham (Drummondville), QC J0C 1K0",QC,null,null,null,null,http://www.performancenc.ca,176 boul industriel,null,2635,819-395-2464,Canada,Carrier BMW,J0C 1K0,finished,8193952464
null,United States,Worcester,01605,MA,null,Address Match : 001j000000aEaO1AAK,null,false,700 Plantation St.,null,null,"700 Plantation St.
Worcester, MA 01605",MA,null,null,null,null,http://www.wagnermotorsport.com/,700 plantation street,null,1249,+1 (508) 581-5950,United States,Wagner BMW Motorcycles of Worcester,01605,finished,5085815950
null,United States,New York,10019,NY,null,Address Match : 001j000000NmXflAAF,null,false,555 W 57th St,null,null,"555 W 57th St
New York, NY 10019",NY,null,null,null,null,http://www.bmwbikesnyc.com/,555 west 57th street,null,1248,+1 (212) 373-7863,United States,BMW of Manhattan,10019,finished,2123737863
null,United States,Hasbrouck Heights,07604,NJ,null,"Address Match : 001j000000aEZowAAG
Phone Match : 001j000000eNMOQAA4",null,false,65 Route 17 South,null,null,"65 Route 17 South
Hasbrouck Heights, NJ 07604",NJ,null,null,null,null,http://www.ccbmw.com/,65 route 17 south,null,1247,,United States,Cross Country BMW Motorcycles of Ha sbrouck Heights,07604,finished,
null,United States,Grand Junction,81506,CO,null,"Address Match : 001j000000Q6kxiAAB
Phone Match : 001j000000Q6kxiAAB
Website Match : 001j000000Q6kxiAAB",null,false,2747 Crossroads Blvd.,null,null,"2747 Crossroads Blvd.
Grand Junction, CO 81506",CO,null,null,null,null,http://www.gjharley.com/,2747 crossroads boulevard,null,1169,+1 (970) 245-0812,United States,Grand Junction BMW,81506,finished,9702450812
null,United States,Cape Girardeau,63703,MO,null,"Address Match : 001j000000cIqTUAA0
Phone Match : 001j000000cIqTUAA0
Website Match : 001j000000cIqTUAA0",null,false,28 S Spanish St,null,null,"28 S Spanish St
Cape Girardeau, MO 63703",MO,null,null,null,null,http://www.grassrootsbmw.com/,28 south spanish street,null,1147,+1 (573) 334-7223,United States,Grass Roots BMW,63703,finished,5733347223
null,Canada,Ajax,L1Z0C5,ON,null,"Address Match : 001j000000PbXRNAA3
Phone Match : 001j000000PbXRNAA3",null,null,100 Achilles Road,null,null,"100 Achilles Road, Ajax, ON L1Z 0C5",ON,null,null,null,null,http://www.bmwbikes.ca,100 achilles road,null,2631,905-619-5522,Canada,Endras Motorrad,L1Z 0C5,finished,9056195522
null,Canada,Oakville,L6L5M9,ON,null,Phone Match : 001j000000PbXf7AAF,null,null,2486 South Service Road West,null,null,"2486 South Service Road West, Oakville, ON L6L 5M9",ON,null,null,null,null,http://www.buddsmotorrad.com,2486 south service road west,null,2630,905-845-3577,Canada,Budds' BMW Motorrad,L6L 5M9,finished,9058453577
null,United States,Tigard,97223,OR,null,"Phone Match : 001j000000Q6lCGAAZ
Website Match : 001j000000Q6lCGAAZ",null,false,12010 SW Garden Place,null,null,"12010 SW Garden Place
Tigard, OR 97223",OR,null,null,null,null,http://www.bmcwor.com/,12010 sw garden place,null,1221,+1 (503) 597-7097,United States,"BMW Motorcycles of Western Oregon,",97223,finished,5035977097
null,United States,Kansas City,64126,MO,null,"Phone Match : 001j000000cIq9KAAS
Website Match : 001j000000cIq9KAAS",null,false,6633 E Truman Rd,null,null,"6633 E Truman Rd
Kansas City, MO 64126",MO,null,null,null,null,http://www.englemotors.com/,6633 east truman road,null,1329,+1 (816) 241-7554,United States,"Engle Motors, Inc.",64126,finished,8162417554
null,Canada,Montréal,H4B1V3,QC,null,"Phone Match : 001j000000j8U67AAE
Website Match : 001j000000j8U67AAE",null,null,6695 rue Saint-Jacques,null,null,"6695 rue Saint-Jacques, Montréal, QC H4B 1V3",QC,null,null,null,null,http://www.motointer.com,6695 rue saintjacques,null,2637,514-483-6686,Canada,Moto Internationale,H4B 1V3,finished,5144836686
